Time,V(y),V(yk),V(rk)
0,0,0,0
0.03,0.0891082779992703,0,1
0.06,0.180664668913282,0,1
0.09,0.269515306573901,0,1
0.12,0.355740016886758,0,1
0.15,0.439416401931398,0,1
0.18,0.520619775868696,0,1
0.21,0.599423227218631,0,1
0.24,0.675897684418214,0,1
0.27,0.750102226001281,0,1
0.3,0.822122979107525,0,1
0.33,0.892015644237305,0,1
0.36,0.959842687165108,0,1
0.39,1.02566513862035,0,1
0.42,1.08954224251375,0,1
0.45,1.15153149252941,0,1
0.48,1.2116886831848,0,1
0.51,1.23944692983045,1.25397190292046,1
0.54,1.18831330487104,1.25397190292046,1
0.57,1.13869071670185,1.25397190292046,1
0.6,1.09053468994013,1.25397190292046,1
0.63,1.04380188865049,1.25397190292046,1
0.66,0.998450250468874,1.25397190292046,1
0.69,0.954438955865899,1.25397190292046,1
0.72,0.91172839169951,1.25397190292046,1
0.75,0.870280115572521,1.25397190292046,1
0.78,0.830058469881094,1.25397190292046,1
0.81,0.791023928905821,1.25397190292046,1
0.84,0.753143010054727,1.25397190292046,1
0.87,0.716381640694601,1.25397190292046,1
0.9,0.680706734042198,1.25397190292046,1
0.93,0.646086180306563,1.25397190292046,1
0.96,0.612488818648769,1.25397190292046,1
0.99,0.579884409170456,1.25397190292046,1
1.02,0.586403802553427,0.567406926734142,1
1.05,0.616845735453292,0.567406926734142,1
1.08,0.646388012705453,0.567406926734142,1
1.11,0.675057185269401,0.567406926734142,1
1.14,0.702879055731928,0.567406926734142,1
1.17,0.729878665592502,0.567406926734142,1
1.2,0.756080316323859,0.567406926734142,1
1.23,0.781507591184138,0.567406926734142,1
1.26,0.806182479463277,0.567406926734142,1
1.29,0.830128890455464,0.567406926734142,1
1.32,0.853367694056433,0.567406926734142,1
1.35,0.875919691934475,0.567406926734142,1
1.38,0.897805177689532,0.567406926734142,1
1.41,0.919043849545049,0.567406926734142,1
1.44,0.939654823734542,0.567406926734142,1
1.47,0.95965665152883,0.567406926734142,1
1.5,0.97906704918118,0.567406926734142,1
1.53,0.965073144642414,0.98016469210622,1
1.56,0.949520660929991,0.98016469210622,1
1.59,0.934427815575106,0.98016469210622,1
1.62,0.919781030958996,0.98016469210622,1
1.65,0.905567124271066,0.98016469210622,1
1.68,0.891773302045484,0.98016469210622,1
1.71,0.87838714890955,0.98016469210622,1
1.74,0.865396616419861,0.98016469210622,1
1.77,0.852790513817651,0.98016469210622,1
1.8,0.84055649784612,0.98016469210622,1
1.83,0.828684031042973,0.98016469210622,1
1.86,0.817162447839888,0.98016469210622,1
1.89,0.805981378874006,0.98016469210622,1
1.92,0.795130760461457,0.98016469210622,1
1.95,0.784600826313023,0.98016469210622,1
1.98,0.77438209877566,0.98016469210622,1
2.01,0.77011206900522,0.767171690678552,1
2.04,0.780570167810544,0.767171690678552,1
2.07,0.790719221988907,0.767171690678552,1
2.1,0.800568327862892,0.767171690678552,1
2.13,0.810126348709735,0.767171690678552,1
2.16,0.819401887329636,0.767171690678552,1
2.19,0.828403292332183,0.767171690678552,1
2.22,0.837138665590735,0.767171690678552,1
2.25,0.845615869532181,0.767171690678552,1
2.28,0.853842197023879,0.767171690678552,1
2.31,0.861825732059071,0.767171690678552,1
2.34,0.869573322661061,0.767171690678552,1
2.37,0.877091937531264,0.767171690678552,1
2.4,0.884388343740245,0.767171690678552,1
2.43,0.89146910853933,0.767171690678552,1
2.46,0.898340605095545,0.767171690678552,1
2.49,0.905009018220648,0.767171690678552,1
2.52,0.90472134123466,0.90756097389101,1
2.55,0.900170913700814,0.90756097389101,1
2.58,0.895754965729872,0.90756097389101,1
2.61,0.891469528512837,0.90756097389101,1
2.64,0.887310745106663,0.90756097389101,1
2.67,0.883274872334825,0.90756097389101,1
2.7,0.879358277639201,0.90756097389101,1
2.73,0.875557435819614,0.90756097389101,1
2.76,0.871869059940548,0.90756097389101,1
2.79,0.868289576066312,0.90756097389101,1
2.82,0.864815864587237,0.90756097389101,1
2.85,0.861444816092221,0.90756097389101,1
2.88,0.858173397115674,0.90756097389101,1
2.91,0.854998663188246,0.90756097389101,1
2.94,0.851917756835821,0.90756097389101,1
2.97,0.848927905034302,0.90756097389101,1
3,0.84602645957712,0.90756097389101,1
3.03,0.849514116017664,0.845862385087998,1
3.06,0.853277380582943,0.845862385087998,1
3.09,0.856929425565825,0.845862385087998,1
3.12,0.860473536368981,0.845862385087998,1
3.15,0.863912902862588,0.845862385087998,1
3.18,0.867250620706319,0.845862385087998,1
3.21,0.870489694071919,0.845862385087998,1
3.24,0.873633038344546,0.845862385087998,1
3.27,0.876683361373741,0.845862385087998,1
3.3,0.879643649881226,0.845862385087998,1
3.33,0.882516453637132,0.845862385087998,1
3.36,0.88530435340966,0.845862385087998,1
3.39,0.888009858293594,0.845862385087998,1
3.42,0.890635403417985,0.845862385087998,1
3.45,0.893183351950724,0.845862385087998,1
3.48,0.895655997217852,0.845862385087998,1
3.51,0.897106656581152,0.897400713611375,1
3.54,0.896060778420309,0.897400713611375,1
3.57,0.895045806739899,0.897400713611375,1
3.6,0.894060831848272,0.897400713611375,1
3.63,0.893104967359834,0.897400713611375,1
3.66,0.8921773529384,0.897400713611375,1
3.69,0.891277153668502,0.897400713611375,1
3.72,0.890403559309911,0.897400713611375,1
3.75,0.889555783568601,0.897400713611375,1
3.78,0.888733097110226,0.897400713611375,1
3.81,0.887934691482678,0.897400713611375,1
3.84,0.887159881838918,0.897400713611375,1
3.87,0.886407971263306,0.897400713611375,1
3.9,0.885678283004602,0.897400713611375,1
