Time,V(yk)
0,0
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0
0.36,0
0.39,0
0.42,0
0.45,0
0.48,0
0.51,1.25380889401979
0.54,1.25380889401979
0.57,1.25380889401979
0.6,1.25380889401979
0.63,1.25380889401979
0.66,1.25380889401979
0.69,1.25380889401979
0.72,1.25380889401979
0.75,1.25380889401979
0.78,1.25380889401979
0.81,1.25380889401979
0.84,1.25380889401979
0.87,1.25380889401979
0.9,1.25380889401979
0.93,1.25380889401979
0.96,1.25380889401979
0.99,1.25380889401979
1.02,0.567700187393737
1.05,0.567700187393737
1.08,0.567700187393737
1.11,0.567700187393737
1.14,0.567700187393737
1.17,0.567700187393737
1.2,0.567700187393737
1.23,0.567700187393737
1.26,0.567700187393737
1.29,0.567700187393737
1.32,0.567700187393737
1.35,0.567700187393737
1.38,0.567700187393737
1.41,0.567700187393737
1.44,0.567700187393737
1.47,0.567700187393737
1.5,0.567700187393737
1.53,0.97993655154433
1.56,0.97993655154433
1.59,0.97993655154433
1.62,0.97993655154433
1.65,0.97993655154433
1.68,0.97993655154433
1.71,0.97993655154433
1.74,0.97993655154433
1.77,0.97993655154433
1.8,0.97993655154433
1.83,0.97993655154433
1.86,0.97993655154433
1.89,0.97993655154433
1.92,0.97993655154433
1.95,0.97993655154433
1.98,0.97993655154433
2.01,0.767335936947723
2.04,0.767335936947723
2.07,0.767335936947723
2.1,0.767335936947723
2.13,0.767335936947723
2.16,0.767335936947723
2.19,0.767335936947723
2.22,0.767335936947723
2.25,0.767335936947723
2.28,0.767335936947723
2.31,0.767335936947723
2.34,0.767335936947723
2.37,0.767335936947723
2.4,0.767335936947723
2.43,0.767335936947723
2.46,0.767335936947723
2.49,0.767335936947723
2.52,0.907447867335734
2.55,0.907447867335734
2.58,0.907447867335734
2.61,0.907447867335734
2.64,0.907447867335734
2.67,0.907447867335734
2.7,0.907447867335734
2.73,0.907447867335734
2.76,0.907447867335734
2.79,0.907447867335734
2.82,0.907447867335734
2.85,0.907447867335734
2.88,0.907447867335734
2.91,0.907447867335734
2.94,0.907447867335734
2.97,0.907447867335734
3,0.907447867335734
3.03,0.845937729865143
3.06,0.845937729865143
3.09,0.845937729865143
3.12,0.845937729865143
3.15,0.845937729865143
3.18,0.845937729865143
3.21,0.845937729865143
3.24,0.845937729865143
3.27,0.845937729865143
3.3,0.845937729865143
3.33,0.845937729865143
3.36,0.845937729865143
3.39,0.845937729865143
3.42,0.845937729865143
3.45,0.845937729865143
3.48,0.845937729865143
3.51,0.897351539561529
3.54,0.897351539561529
3.57,0.897351539561529
3.6,0.897351539561529
3.63,0.897351539561529
3.66,0.897351539561529
3.69,0.897351539561529
3.72,0.897351539561529
3.75,0.897351539561529
3.78,0.897351539561529
3.81,0.897351539561529
3.84,0.897351539561529
3.87,0.897351539561529
3.9,0.897351539561529
3.93,0.897351539561529
3.96,0.897351539561529
3.99,0.897351539561529
4.02,0.883392359363503
4.05,0.883392359363503
4.08,0.883392359363503
4.11,0.883392359363503
4.14,0.883392359363503
4.17,0.883392359363503
4.2,0.883392359363503
4.23,0.883392359363503
4.26,0.883392359363503
4.29,0.883392359363503
4.32,0.883392359363503
4.35,0.883392359363503
4.38,0.883392359363503
4.41,0.883392359363503
4.44,0.883392359363503
4.47,0.883392359363503
4.5,0.883392359363503
4.53,0.905296767339033
4.56,0.905296767339033
4.59,0.905296767339033
4.62,0.905296767339033
4.65,0.905296767339033
4.68,0.905296767339033
4.71,0.905296767339033
4.74,0.905296767339033
4.77,0.905296767339033
4.8,0.905296767339033
4.83,0.905296767339033
4.86,0.905296767339033
4.89,0.905296767339033
4.92,0.905296767339033
4.95,0.905296767339033
4.98,0.905296767339033
5.01,0.90574023351224
5.04,0.90574023351224
5.07,0.90574023351224
5.1,0.90574023351224
5.13,0.90574023351224
5.16,0.90574023351224
5.19,0.90574023351224
5.22,0.90574023351224
5.25,0.90574023351224
5.28,0.90574023351224
5.31,0.90574023351224
5.34,0.90574023351224
5.37,0.90574023351224
5.4,0.90574023351224
5.43,0.90574023351224
5.46,0.90574023351224
5.49,0.90574023351224
5.52,0.917326999324967
5.55,0.917326999324967
5.58,0.917326999324967
5.61,0.917326999324967
5.64,0.917326999324967
5.67,0.917326999324967
5.7,0.917326999324967
5.73,0.917326999324967
5.76,0.917326999324967
5.79,0.917326999324967
5.82,0.917326999324967
5.85,0.917326999324967
5.88,0.917326999324967
5.91,0.917326999324967
5.94,0.917326999324967
5.97,0.917326999324967
6,0.917326999324967
6.03,0.921646154416835
6.06,0.921646154416835
6.09,0.921646154416835
6.12,0.921646154416835
6.15,0.921646154416835
6.18,0.921646154416835
6.21,0.921646154416835
6.24,0.921646154416835
6.27,0.921646154416835
6.3,0.921646154416835
6.33,0.921646154416835
6.36,0.921646154416835
6.39,0.921646154416835
6.42,0.921646154416835
6.45,0.921646154416835
6.48,0.921646154416835
6.51,0.929216215116669
6.54,0.929216215116669
6.57,0.929216215116669
6.6,0.929216215116669
6.63,0.929216215116669
6.66,0.929216215116669
6.69,0.929216215116669
6.72,0.929216215116669
6.75,0.929216215116669
6.78,0.929216215116669
6.81,0.929216215116669
6.84,0.929216215116669
6.87,0.929216215116669
6.9,0.929216215116669
6.93,0.929216215116669
6.96,0.929216215116669
6.99,0.929216215116669
7.02,0.934140739897263
7.05,0.934140739897263
