Time,V(yk)
0,0
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0
0.36,0
0.39,0
0.42,0
0.45,0
0.48,0
0.51,1.21875
0.54,1.21875
0.57,1.21875
0.6,1.21875
0.63,1.21875
0.66,1.21875
0.69,1.21875
0.72,1.21875
0.75,1.21875
0.78,1.21875
0.81,1.21875
0.84,1.21875
0.87,1.21875
0.9,1.21875
0.93,1.21875
0.96,1.21875
0.99,1.21875
1.02,0.5625
1.05,0.5625
1.08,0.5625
1.11,0.5625
1.14,0.5625
1.17,0.5625
1.2,0.5625
1.23,0.5625
1.26,0.5625
1.29,0.5625
1.32,0.5625
1.35,0.5625
1.38,0.5625
1.41,0.5625
1.44,0.5625
1.47,0.5625
1.5,0.5625
1.53,0.9375
1.56,0.9375
1.59,0.9375
1.62,0.9375
1.65,0.9375
1.68,0.9375
1.71,0.9375
1.74,0.9375
1.77,0.9375
1.8,0.9375
1.83,0.9375
1.86,0.9375
1.89,0.9375
1.92,0.9375
1.95,0.9375
1.98,0.9375
2.01,0.84375
2.04,0.84375
2.07,0.84375
2.1,0.84375
2.13,0.84375
2.16,0.84375
2.19,0.84375
2.22,0.84375
2.25,0.84375
2.28,0.84375
2.31,0.84375
2.34,0.84375
2.37,0.84375
2.4,0.84375
2.43,0.84375
2.46,0.84375
2.49,0.84375
2.52,0.84375
2.55,0.84375
2.58,0.84375
2.61,0.84375
2.64,0.84375
2.67,0.84375
2.7,0.84375
2.73,0.84375
2.76,0.84375
2.79,0.84375
2.82,0.84375
2.85,0.84375
2.88,0.84375
2.91,0.84375
2.94,0.84375
2.97,0.84375
3,0.84375
3.03,0.84375
3.06,0.84375
3.09,0.84375
3.12,0.84375
3.15,0.84375
3.18,0.84375
3.21,0.84375
3.24,0.84375
3.27,0.84375
3.3,0.84375
3.33,0.84375
3.36,0.84375
3.39,0.84375
3.42,0.84375
3.45,0.84375
3.48,0.84375
3.51,0.9375
3.54,0.9375
3.57,0.9375
3.6,0.9375
3.63,0.9375
3.66,0.9375
3.69,0.9375
3.72,0.9375
3.75,0.9375
3.78,0.9375
3.81,0.9375
3.84,0.9375
3.87,0.9375
3.9,0.9375
3.93,0.9375
3.96,0.9375
3.99,0.9375
4.02,0.84375
4.05,0.84375
4.08,0.84375
4.11,0.84375
4.14,0.84375
4.17,0.84375
4.2,0.84375
4.23,0.84375
4.26,0.84375
4.29,0.84375
4.32,0.84375
4.35,0.84375
4.38,0.84375
4.41,0.84375
4.44,0.84375
4.47,0.84375
4.5,0.84375
4.53,0.9375
4.56,0.9375
4.59,0.9375
4.62,0.9375
4.65,0.9375
4.68,0.9375
4.71,0.9375
4.74,0.9375
4.77,0.9375
4.8,0.9375
4.83,0.9375
4.86,0.9375
4.89,0.9375
4.92,0.9375
4.95,0.9375
4.98,0.9375
5.01,0.84375
5.04,0.84375
5.07,0.84375
5.1,0.84375
5.13,0.84375
5.16,0.84375
5.19,0.84375
5.22,0.84375
5.25,0.84375
5.28,0.84375
5.31,0.84375
5.34,0.84375
5.37,0.84375
5.4,0.84375
5.43,0.84375
5.46,0.84375
5.49,0.84375
5.52,0.9375
5.55,0.9375
5.58,0.9375
5.61,0.9375
5.64,0.9375
5.67,0.9375
5.7,0.9375
5.73,0.9375
5.76,0.9375
5.79,0.9375
5.82,0.9375
5.85,0.9375
5.88,0.9375
5.91,0.9375
5.94,0.9375
5.97,0.9375
6,0.9375
6.03,0.9375
6.06,0.9375
6.09,0.9375
6.12,0.9375
6.15,0.9375
6.18,0.9375
6.21,0.9375
6.24,0.9375
6.27,0.9375
6.3,0.9375
6.33,0.9375
6.36,0.9375
6.39,0.9375
6.42,0.9375
6.45,0.9375
6.48,0.9375
6.51,0.9375
6.54,0.9375
6.57,0.9375
6.6,0.9375
6.63,0.9375
6.66,0.9375
6.69,0.9375
6.72,0.9375
6.75,0.9375
6.78,0.9375
6.81,0.9375
6.84,0.9375
6.87,0.9375
6.9,0.9375
6.93,0.9375
6.96,0.9375
6.99,0.9375
7.02,0.9375
7.05,0.9375
7.08,0.9375
7.11,0.9375
7.14,0.9375
7.17,0.9375
7.2,0.9375
7.23,0.9375
7.26,0.9375
7.29,0.9375
7.32,0.9375
7.35,0.9375
7.38,0.9375
7.41,0.9375
7.44,0.9375
7.47,0.9375
7.5,0.9375
7.53,0.9375
7.56,0.9375
7.59,0.9375
7.62,0.9375
7.65,0.9375
7.68,0.9375
7.71,0.9375
7.74,0.9375
7.77,0.9375
7.8,0.9375
7.83,0.9375
7.86,0.9375
7.89,0.9375
7.92,0.9375
7.95,0.9375
7.98,0.9375
8.01,0.9375
8.04,0.9375
8.07,0.9375
8.1,0.9375
8.13,0.9375
8.16,0.9375
8.19,0.9375
8.22,0.9375
8.25,0.9375
8.28,0.9375
8.31,0.9375
8.34,0.9375
8.37,0.9375
8.4,0.9375
8.43,0.9375
8.46,0.9375
8.49,0.9375
8.52,0.9375
8.55,0.9375
8.58,0.9375
8.61,0.9375
8.64,0.9375
8.67,0.9375
8.7,0.9375
8.73,0.9375
8.76,0.9375
8.79,0.9375
8.82,0.9375
8.85,0.9375
8.88,0.9375
8.91,0.9375
8.94,0.9375
8.97,0.9375
9,0.9375
9.03,0.9375
9.06,0.9375
9.09,0.9375
9.12,0.9375
9.15,0.9375
9.18,0.9375
9.21,0.9375
9.24,0.9375
9.27,0.9375
