Time,V(y),V(yk)
0,0,0
0.03,0.0584016660771578,0
0.06,0.15048813043596,0
0.09,0.240133772526978,0
0.12,0.327143781234073,0
0.15,0.41159437962772,0
0.18,0.49355974547255,0
0.21,0.572589485311211,0
0.24,0.648814681813522,0
0.27,0.723569095105293,0
0.3,0.795783496203066,0
0.33,0.865451203822843,0
0.36,0.933917459909588,0
0.39,1.00037833353777,0
0.42,1.06489089541971,0
0.45,1.12741778686447,0
0.48,1.18745171218775,0
0.51,1.24615977263161,1.22947692748146
0.54,1.20243562586167,1.22947692748146
0.57,1.15481747907575,1.22947692748146
0.6,1.10852031303378,1.22947692748146
0.63,1.06358685548544,1.22947692748146
0.66,1.01997733437299,1.22947692748146
0.69,0.977653088568273,1.22947692748146
0.72,0.936819291868698,1.22947692748146
0.75,0.897271579842078,1.22947692748146
0.78,0.858582298357971,1.22947692748146
0.81,0.821049326525635,1.22947692748146
0.84,0.784605877928389,1.22947692748146
0.87,0.749226921514323,1.22947692748146
0.9,0.714890648686977,1.22947692748146
0.93,0.681566616990198,1.22947692748146
0.96,0.649248861548268,1.22947692748146
0.99,0.618294111777716,1.22947692748146
1.02,0.603128452434546,0.605392455449295
1.05,0.629653689714378,0.605392455449295
1.08,0.655428760524073,0.605392455449295
1.11,0.680467320597012,0.605392455449295
1.14,0.704768124489802,0.605392455449295
1.17,0.728352701827147,0.605392455449295
1.2,0.751241979631098,0.605392455449295
1.23,0.773221896305762,0.605392455449295
1.26,0.794682593884619,0.605392455449295
1.29,0.815603520771641,0.605392455449295
1.32,0.835863350489149,0.605392455449295
1.35,0.855565324501391,0.605392455449295
1.38,0.874687011043839,0.605392455449295
1.41,0.893245331415216,0.605392455449295
1.44,0.911256734500241,0.605392455449295
1.47,0.928653943771901,0.605392455449295
1.5,0.945496255417968,0.605392455449295
1.53,0.944816674230572,0.946807860381317
1.56,0.93287551941294,0.946807860381317
1.59,0.921291676687735,0.946807860381317
1.62,0.910053968694992,0.946807860381317
1.65,0.899147273712516,0.946807860381317
1.68,0.8885619310683,0.946807860381317
1.71,0.878302492476786,0.946807860381317
1.74,0.868454267021786,0.946807860381317
1.77,0.858794567330458,0.946807860381317
1.8,0.8494196537502,0.946807860381317
1.83,0.840311768751304,0.946807860381317
1.86,0.831462227020869,0.946807860381317
1.89,0.822873414657466,0.946807860381317
1.92,0.814537724084669,0.946807860381317
1.95,0.806447760548815,0.946807860381317
1.98,0.798670004801691,0.946807860381317
2.01,0.791073640505104,0.792884825867271
2.04,0.797926369807938,0.792884825867271
2.07,0.805307142138678,0.792884825867271
2.1,0.812483163575431,0.792884825867271
2.13,0.819447811353269,0.792884825867271
2.16,0.826207250107378,0.792884825867271
2.19,0.832767472279806,0.792884825867271
2.22,0.839096676106118,0.792884825867271
2.25,0.845226537899825,0.792884825867271
2.28,0.851223343688132,0.792884825867271
2.31,0.857040922461956,0.792884825867271
2.34,0.862689626059191,0.792884825867271
2.37,0.868173334271637,0.792884825867271
2.4,0.873495427413232,0.792884825867271
2.43,0.878660624038839,0.792884825867271
2.46,0.883669848699131,0.792884825867271
2.49,0.888467808637359,0.792884825867271
2.52,0.891233840458286,0.890350340906525
2.55,0.888649655184777,0.890350340906525
2.58,0.886138553862388,0.890350340906525
2.61,0.883699206099813,0.890350340906525
2.64,0.881331733232683,0.890350340906525
2.67,0.879034037766508,0.890350340906525
2.7,0.876804080914542,0.890350340906525
2.73,0.874662717337493,0.890350340906525
2.76,0.872571937976788,0.890350340906525
2.79,0.870533745043801,0.890350340906525
2.82,0.868559958606098,0.890350340906525
2.85,0.866640520504023,0.890350340906525
2.88,0.864777616121817,0.890350340906525
2.91,0.862969596924898,0.890350340906525
2.94,0.861214860402977,0.890350340906525
2.97,0.85951996088047,0.890350340906525
3,0.85787912150669,0.890350340906525
3.03,0.858752208476172,0.857734679318047
3.06,0.86123035843266,0.857734679318047
3.09,0.863634355347853,0.857734679318047
3.12,0.865966518861228,0.857734679318047
3.15,0.868229987186448,0.857734679318047
3.18,0.87042676520447,0.857734679318047
3.21,0.872555908297198,0.857734679318047
3.24,0.874599712255485,0.857734679318047
3.27,0.87660439142893,0.857734679318047
3.3,0.878549968890725,0.857734679318047
3.33,0.880440129864133,0.857734679318047
3.36,0.882276676813666,0.857734679318047
3.39,0.884059114551867,0.857734679318047
3.42,0.885789021880409,0.857734679318047
3.45,0.887467933433818,0.857734679318047
3.48,0.88908205245,0.857734679318047
3.51,0.890658527266596,0.890159606043434
3.54,0.890593445907577,0.890159606043434
3.57,0.890417584173017,0.890159606043434
3.6,0.890246601040012,0.890159606043434
3.63,0.890080654309246,0.890159606043434
3.66,0.889919597095898,0.890159606043434
3.69,0.889763286617991,0.890159606043434
3.72,0.889612480616478,0.890159606043434
3.75,0.889466424339526,0.890159606043434
3.78,0.889323538389319,0.890159606043434
3.81,0.889184922882939,0.890159606043434
3.84,0.889050331167044,0.890159606043434
3.87,0.888919670797797,0.890159606043434
3.9,0.888792861232425,0.890159606043434
3.93,0.888669790041875,0.890159606043434
3.96,0.888550435196869,0.890159606043434
3.99,0.888436114158463,0.890159606043434
4.02,0.888628963308385,0.888252257412529
4.05,0.889712150771348,0.888252257412529
4.08,0.890759922300447,0.888252257412529
4.11,0.891788561855884,0.888252257412529
4.14,0.892787068870628,0.888252257412529
4.17,0.893756301174045,0.888252257412529
4.2,0.894694698341797,0.888252257412529
4.23,0.895596059513615,0.888252257412529
4.26,0.896476442529132,0.888252257412529
4.29,0.897337676615278,0.888252257412529
