Time,V(yk),V(u)
0,0,0
0.06,0,12
0.12,0,12
0.18,0,12
0.24,0,12
0.3,0,12
0.36,0,12
0.42,0,12
0.48,0,12
0.54,4.677978515625,0.278282470703125
0.6,4.677978515625,0.278282470703125
0.66,4.677978515625,0.278282470703125
0.72,4.677978515625,0.278282470703125
0.78,4.677978515625,0.278282470703125
0.84,4.677978515625,0.278282470703125
0.9,4.677978515625,0.278282470703125
0.96,4.677978515625,0.278282470703125
1.02,2.956787109375,7.45984772949219
1.08,2.956787109375,7.45984772949219
1.14,2.956787109375,7.45984772949219
1.2,2.956787109375,7.45984772949219
1.26,2.956787109375,7.45984772949219
1.32,2.956787109375,7.45984772949219
1.38,2.956787109375,7.45984772949219
1.44,2.956787109375,7.45984772949219
1.5,2.956787109375,7.45984772949219
1.56,4.7156982421875,4.09886989746094
1.62,4.7156982421875,4.09886989746094
1.68,4.7156982421875,4.09886989746094
1.74,4.7156982421875,4.09886989746094
1.8,4.7156982421875,4.09886989746094
1.86,4.7156982421875,4.09886989746094
1.92,4.7156982421875,4.09886989746094
1.98,4.7156982421875,4.09886989746094
2.04,4.4747314453125,6.55093804931641
2.1,4.4747314453125,6.55093804931641
2.16,4.4747314453125,6.55093804931641
2.22,4.4747314453125,6.55093804931641
2.28,4.4747314453125,6.55093804931641
2.34,4.4747314453125,6.55093804931641
2.4,4.4747314453125,6.55093804931641
2.46,4.4747314453125,6.55093804931641
2.52,5.2855224609375,5.72785017089844
2.58,5.2855224609375,5.72785017089844
2.64,5.2855224609375,5.72785017089844
2.7,5.2855224609375,5.72785017089844
2.76,5.2855224609375,5.72785017089844
2.82,5.2855224609375,5.72785017089844
2.88,5.2855224609375,5.72785017089844
2.94,5.2855224609375,5.72785017089844
3,5.2855224609375,5.72785017089844
3.06,5.4583740234375,6.67947623291015
3.12,5.4583740234375,6.67947623291015
3.18,5.4583740234375,6.67947623291015
3.24,5.4583740234375,6.67947623291015
3.3,5.4583740234375,6.67947623291015
3.36,5.4583740234375,6.67947623291015
3.42,5.4583740234375,6.67947623291015
3.48,5.4583740234375,6.67947623291015
3.54,5.9351806640625,6.60730966796875
3.6,5.9351806640625,6.60730966796875
3.66,5.9351806640625,6.60730966796875
3.72,5.9351806640625,6.60730966796875
3.78,5.9351806640625,6.60730966796875
3.84,5.9351806640625,6.60730966796875
3.9,5.9351806640625,6.60730966796875
3.96,5.9351806640625,6.60730966796875
4.02,6.19775390625,7.06594666748047
4.08,6.19775390625,7.06594666748047
4.14,6.19775390625,7.06594666748047
4.2,6.19775390625,7.06594666748047
4.26,6.19775390625,7.06594666748047
4.32,6.19775390625,7.06594666748047
4.38,6.19775390625,7.06594666748047
4.44,6.19775390625,7.06594666748047
4.5,6.19775390625,7.06594666748047
4.56,6.5357666015625,7.20047603759765
4.62,6.5357666015625,7.20047603759765
4.68,6.5357666015625,7.20047603759765
4.74,6.5357666015625,7.20047603759765
4.8,6.5357666015625,7.20047603759765
4.86,6.5357666015625,7.20047603759765
4.92,6.5357666015625,7.20047603759765
4.98,6.5357666015625,7.20047603759765
5.04,6.7943115234375,7.48054455566406
5.1,6.7943115234375,7.48054455566406
5.16,6.7943115234375,7.48054455566406
5.22,6.7943115234375,7.48054455566406
5.28,6.7943115234375,7.48054455566406
5.34,6.7943115234375,7.48054455566406
5.4,6.7943115234375,7.48054455566406
5.46,6.7943115234375,7.48054455566406
5.52,7.0616455078125,7.6502040649414
5.58,7.0616455078125,7.6502040649414
5.64,7.0616455078125,7.6502040649414
5.7,7.0616455078125,7.6502040649414
5.76,7.0616455078125,7.6502040649414
5.82,7.0616455078125,7.6502040649414
5.88,7.0616455078125,7.6502040649414
5.94,7.0616455078125,7.6502040649414
6,7.0616455078125,7.6502040649414
6.06,7.29052734375,7.85721123046875
6.12,7.29052734375,7.85721123046875
6.18,7.29052734375,7.85721123046875
6.24,7.29052734375,7.85721123046875
6.3,7.29052734375,7.85721123046875
6.36,7.29052734375,7.85721123046875
6.42,7.29052734375,7.85721123046875
6.48,7.29052734375,7.85721123046875
6.54,7.510986328125,8.01811738281249
6.6,7.510986328125,8.01811738281249
6.66,7.510986328125,8.01811738281249
6.72,7.510986328125,8.01811738281249
6.78,7.510986328125,8.01811738281249
6.84,7.510986328125,8.01811738281249
6.9,7.510986328125,8.01811738281249
6.96,7.510986328125,8.01811738281249
7.02,7.7083740234375,8.18229145507812
7.08,7.7083740234375,8.18229145507812
7.14,7.7083740234375,8.18229145507812
7.2,7.7083740234375,8.18229145507812
7.26,7.7083740234375,8.18229145507812
7.32,7.7083740234375,8.18229145507812
7.38,7.7083740234375,8.18229145507812
7.44,7.7083740234375,8.18229145507812
7.5,7.7083740234375,8.18229145507812
7.56,7.8929443359375,8.32440706787109
7.62,7.8929443359375,8.32440706787109
7.68,7.8929443359375,8.32440706787109
7.74,7.8929443359375,8.32440706787109
7.8,7.8929443359375,8.32440706787109
7.86,7.8929443359375,8.32440706787109
7.92,7.8929443359375,8.32440706787109
7.98,7.8929443359375,8.32440706787109
8.04,8.0606689453125,8.46138737792968
8.1,8.0606689453125,8.46138737792968
8.16,8.0606689453125,8.46138737792968
8.22,8.0606689453125,8.46138737792968
8.28,8.0606689453125,8.46138737792968
8.34,8.0606689453125,8.46138737792968
8.4,8.0606689453125,8.46138737792968
8.46,8.0606689453125,8.46138737792968
8.52,8.217041015625,8.58109439697265
8.58,8.217041015625,8.58109439697265
8.64,8.217041015625,8.58109439697265
8.7,8.217041015625,8.58109439697265
8.76,8.217041015625,8.58109439697265
